"编号";"掉落物品";"绑定率";"包类型(0-基础包 1-掉落包)";"备注"
648;"10,50%|4,30%|7,20%";100%;1;"初级-消耗品（5|3|2）"
649;"11,50%|5,30%|7,20%";100%;1;"中级-消耗品（5|3|2）"
650;"12,50%|6,30%|7,20%";100%;1;"高级-消耗品（5|3|2）"
651;"25003x1000,100%";100%;1;"悬赏令-银币-默认"
652;"25003x1500,100%";100%;1;"悬赏令-银币-初级"
653;"25003x2000,100%";100%;1;"悬赏令-银币-中级"
654;"25003x2500,100%";100%;1;"悬赏令-银币-高级"
655;"25004x100,100%";100%;1;"悬赏令-【修为】-默认"
656;"25004x125,100%";100%;1;"悬赏令-【修为】-初级"
657;"25004x150,100%";100%;1;"悬赏令-【修为】-中级"
658;"25004x200,100%";100%;1;"悬赏令-【修为】-高级"
659;"13,95%|14,5%";100%;1;"悬赏令-强化石-默认"
660;"13,90%|14,9%|15,1%";100%;1;"悬赏令-强化石-初级"
661;"13,60%|14,35%|15,4%|16,1%";100%;1;"悬赏令-强化石-中级"
662;"13,40%|14,40%|15,15%|16,5%";100%;1;"悬赏令-强化石-高级"
663;"648,100%";100%;1;"悬赏令-【消耗品】-默认"
664;"648,90%|649,10%";100%;1;"悬赏令-【消耗品】-初级"
665;"648,60%|649,35%|650,5%";100%;1;"悬赏令-【消耗品】-中级"
666;"648,40%|649,40%|650,20%";100%;1;"悬赏令-【消耗品】-高级"
701;"651,50%|655,20%|659,15%|663,10%|222,0.5%|260,4.5%";100%;1;"悬赏令-10【默认】"
702;"651,50%|655,20%|659,15%|663,10%|222,0.5%|260,4.5%";100%;1;"悬赏令-20【默认】"
703;"651,50%|655,20%|659,15%|663,10%|223,0.5%|260,4.5%";100%;1;"悬赏令-30【默认】"
704;"651,50%|655,20%|659,15%|663,10%|223,0.5%|261,4.5%";100%;1;"悬赏令-40【默认】"
705;"651,50%|655,20%|659,15%|663,10%|224,0.5%|261,4.5%";100%;1;"悬赏令-50【默认】"
706;"651,50%|655,20%|659,15%|663,10%|225,0.5%|261,4.5%";100%;1;"悬赏令-60【默认】"
707;"651,50%|655,20%|659,15%|663,10%|226,0.5%|262,4.5%";100%;1;"悬赏令-70【默认】"
708;"651,50%|655,20%|659,15%|663,10%|227,0.5%|262,4.5%";100%;1;"悬赏令-80【默认】"
709;"651,50%|655,20%|659,15%|663,10%|228,0.5%|263,4.5%";100%;1;"悬赏令-90【默认】"
710;"651,50%|655,20%|659,15%|663,10%|229,0.5%|263,4.5%";100%;1;"悬赏令-100【默认】"
711;"651,50%|655,20%|659,15%|663,10%|230,0.5%|263,4.5%";100%;1;"悬赏令-110【默认】"
712;"651,50%|655,20%|659,15%|663,10%|231,0.5%|263,4.5%";100%;1;"悬赏令-120【默认】"
713;"651,50%|655,20%|659,15%|663,10%|232,0.5%|263,4.5%";100%;1;"悬赏令-130【默认】"
714;"651,50%|655,20%|659,15%|663,10%|233,0.5%|263,4.5%";100%;1;"悬赏令-140【默认】"
715;"651,50%|655,20%|659,15%|663,10%|234,0.5%|263,4.5%";100%;1;"悬赏令-150【默认】"
716;"651,50%|655,20%|659,15%|663,10%|235,0.5%|263,4.5%";100%;1;"悬赏令-160【默认】"
717;"651,50%|655,20%|659,15%|663,10%|236,0.5%|263,4.5%";100%;1;"悬赏令-170【默认】"
718;"651,50%|655,20%|659,15%|663,10%|237,0.5%|263,4.5%";100%;1;"悬赏令-180【默认】"
719;"651,50%|655,20%|659,15%|663,10%|238,0.5%|263,4.5%";100%;1;"悬赏令-190【默认】"
720;"651,50%|655,20%|659,15%|663,10%|239,0.5%|263,4.5%";100%;1;"悬赏令-200【默认】"
;;;;
751;"652,50%|656,20%|660,15%|664,10%|222,0.5%|260,4.05%|265,0.45%";100%;1;"悬赏令-10【初级】"
752;"652,50%|656,20%|660,15%|664,10%|222,0.5%|260,4.05%|265,0.45%";100%;1;"悬赏令-20【初级】"
753;"652,50%|656,20%|660,15%|664,10%|223,0.5%|260,4.05%|265,0.45%";100%;1;"悬赏令-30【初级】"
754;"652,50%|656,20%|660,15%|664,10%|223,0.5%|261,4.05%|266,0.45%";100%;1;"悬赏令-40【初级】"
755;"652,50%|656,20%|660,15%|664,10%|224,0.5%|261,4.05%|266,0.45%";100%;1;"悬赏令-50【初级】"
756;"652,50%|656,20%|660,15%|664,10%|225,0.5%|261,4.05%|266,0.45%";100%;1;"悬赏令-60【初级】"
757;"652,50%|656,20%|660,15%|664,10%|226,0.5%|262,4.05%|267,0.45%";100%;1;"悬赏令-70【初级】"
758;"652,50%|656,20%|660,15%|664,10%|227,0.5%|262,4.05%|267,0.45%";100%;1;"悬赏令-80【初级】"
759;"652,50%|656,20%|660,15%|664,10%|228,0.5%|263,4.05%|268,0.45%";100%;1;"悬赏令-90【初级】"
760;"652,50%|656,20%|660,15%|664,10%|229,0.5%|263,4.05%|268,0.45%";100%;1;"悬赏令-100【初级】"
761;"652,50%|656,20%|660,15%|664,10%|230,0.5%|263,4.05%|268,0.45%";100%;1;"悬赏令-110【初级】"
762;"652,50%|656,20%|660,15%|664,10%|231,0.5%|263,4.05%|268,0.45%";100%;1;"悬赏令-120【初级】"
763;"652,50%|656,20%|660,15%|664,10%|232,0.5%|263,4.05%|268,0.45%";100%;1;"悬赏令-130【初级】"
764;"652,50%|656,20%|660,15%|664,10%|233,0.5%|263,4.05%|268,0.45%";100%;1;"悬赏令-140【初级】"
765;"652,50%|656,20%|660,15%|664,10%|234,0.5%|263,4.05%|268,0.45%";100%;1;"悬赏令-150【初级】"
766;"652,50%|656,20%|660,15%|664,10%|235,0.5%|263,4.05%|268,0.45%";100%;1;"悬赏令-160【初级】"
767;"652,50%|656,20%|660,15%|664,10%|236,0.5%|263,4.05%|268,0.45%";100%;1;"悬赏令-170【初级】"
768;"652,50%|656,20%|660,15%|664,10%|237,0.5%|263,4.05%|268,0.45%";100%;1;"悬赏令-180【初级】"
769;"652,50%|656,20%|660,15%|664,10%|238,0.5%|263,4.05%|268,0.45%";100%;1;"悬赏令-190【初级】"
770;"652,50%|656,20%|660,15%|664,10%|239,0.5%|263,4.05%|268,0.45%";100%;1;"悬赏令-200【初级】"
;;;;
801;"653,50%|657,20%|661,15%|665,10%|222,0.5%|260,2.7%|265,1.71%|270,0.09%";100%;1;"悬赏令-10【中级】"
802;"653,50%|657,20%|661,15%|665,10%|222,0.5%|260,2.7%|265,1.71%|270,0.09%";100%;1;"悬赏令-20【中级】"
803;"653,50%|657,20%|661,15%|665,10%|223,0.5%|260,2.7%|265,1.71%|270,0.09%";100%;1;"悬赏令-30【中级】"
804;"653,50%|657,20%|661,15%|665,10%|223,0.5%|261,2.7%|266,1.71%|271,0.09%";100%;1;"悬赏令-40【中级】"
805;"653,50%|657,20%|661,15%|665,10%|224,0.5%|261,2.7%|266,1.71%|271,0.09%";100%;1;"悬赏令-50【中级】"
806;"653,50%|657,20%|661,15%|665,10%|225,0.5%|261,2.7%|266,1.71%|271,0.09%";100%;1;"悬赏令-60【中级】"
807;"653,50%|657,20%|661,15%|665,10%|226,0.5%|262,2.7%|267,1.71%|272,0.09%";100%;1;"悬赏令-70【中级】"
808;"653,50%|657,20%|661,15%|665,10%|227,0.5%|262,2.7%|267,1.71%|272,0.09%";100%;1;"悬赏令-80【中级】"
809;"653,50%|657,20%|661,15%|665,10%|228,0.5%|263,2.7%|268,1.71%|273,0.09%";100%;1;"悬赏令-90【中级】"
810;"653,50%|657,20%|661,15%|665,10%|229,0.5%|263,2.7%|268,1.71%|273,0.09%";100%;1;"悬赏令-100【中级】"
811;"653,50%|657,20%|661,15%|665,10%|230,0.5%|263,2.7%|268,1.71%|273,0.09%";100%;1;"悬赏令-110【中级】"
812;"653,50%|657,20%|661,15%|665,10%|231,0.5%|263,2.7%|268,1.71%|273,0.09%";100%;1;"悬赏令-120【中级】"
813;"653,50%|657,20%|661,15%|665,10%|232,0.5%|263,2.7%|268,1.71%|273,0.09%";100%;1;"悬赏令-130【中级】"
814;"653,50%|657,20%|661,15%|665,10%|233,0.5%|263,2.7%|268,1.71%|273,0.09%";100%;1;"悬赏令-140【中级】"
815;"653,50%|657,20%|661,15%|665,10%|234,0.5%|263,2.7%|268,1.71%|273,0.09%";100%;1;"悬赏令-150【中级】"
816;"653,50%|657,20%|661,15%|665,10%|235,0.5%|263,2.7%|268,1.71%|273,0.09%";100%;1;"悬赏令-160【中级】"
817;"653,50%|657,20%|661,15%|665,10%|236,0.5%|263,2.7%|268,1.71%|273,0.09%";100%;1;"悬赏令-170【中级】"
818;"653,50%|657,20%|661,15%|665,10%|237,0.5%|263,2.7%|268,1.71%|273,0.09%";100%;1;"悬赏令-180【中级】"
819;"653,50%|657,20%|661,15%|665,10%|238,0.5%|263,2.7%|268,1.71%|273,0.09%";100%;1;"悬赏令-190【中级】"
820;"653,50%|657,20%|661,15%|665,10%|239,0.5%|263,2.7%|268,1.71%|273,0.09%";100%;1;"悬赏令-200【中级】"
;;;;
851;"654,50%|658,20%|662,15%|666,10%|222,0.5%|260,1.8%|265,2.25%|270,0.45%";100%;1;"悬赏令-10【高级】"
852;"654,50%|658,20%|662,15%|666,10%|222,0.5%|260,1.8%|265,2.25%|270,0.45%";100%;1;"悬赏令-20【高级】"
853;"654,50%|658,20%|662,15%|666,10%|223,0.5%|260,1.8%|265,2.25%|270,0.45%";100%;1;"悬赏令-30【高级】"
854;"654,50%|658,20%|662,15%|666,10%|223,0.5%|261,1.8%|266,2.25%|271,0.45%";100%;1;"悬赏令-40【高级】"
855;"654,50%|658,20%|662,15%|666,10%|224,0.5%|261,1.8%|266,2.25%|271,0.45%";100%;1;"悬赏令-50【高级】"
856;"654,50%|658,20%|662,15%|666,10%|225,0.5%|261,1.8%|266,2.25%|271,0.45%";100%;1;"悬赏令-60【高级】"
857;"654,50%|658,20%|662,15%|666,10%|226,0.5%|262,1.8%|267,2.25%|272,0.45%";100%;1;"悬赏令-70【高级】"
858;"654,50%|658,20%|662,15%|666,10%|227,0.5%|262,1.8%|267,2.25%|272,0.45%";100%;1;"悬赏令-80【高级】"
859;"654,50%|658,20%|662,15%|666,10%|228,0.5%|263,1.8%|268,2.25%|273,0.45%";100%;1;"悬赏令-90【高级】"
860;"654,50%|658,20%|662,15%|666,10%|229,0.5%|263,1.8%|268,2.25%|273,0.45%";100%;1;"悬赏令-100【高级】"
861;"654,50%|658,20%|662,15%|666,10%|230,0.5%|263,1.8%|268,2.25%|273,0.45%";100%;1;"悬赏令-110【高级】"
862;"654,50%|658,20%|662,15%|666,10%|231,0.5%|263,1.8%|268,2.25%|273,0.45%";100%;1;"悬赏令-120【高级】"
863;"654,50%|658,20%|662,15%|666,10%|232,0.5%|263,1.8%|268,2.25%|273,0.45%";100%;1;"悬赏令-130【高级】"
864;"654,50%|658,20%|662,15%|666,10%|233,0.5%|263,1.8%|268,2.25%|273,0.45%";100%;1;"悬赏令-140【高级】"
865;"654,50%|658,20%|662,15%|666,10%|234,0.5%|263,1.8%|268,2.25%|273,0.45%";100%;1;"悬赏令-150【高级】"
866;"654,50%|658,20%|662,15%|666,10%|235,0.5%|263,1.8%|268,2.25%|273,0.45%";100%;1;"悬赏令-160【高级】"
867;"654,50%|658,20%|662,15%|666,10%|236,0.5%|263,1.8%|268,2.25%|273,0.45%";100%;1;"悬赏令-170【高级】"
868;"654,50%|658,20%|662,15%|666,10%|237,0.5%|263,1.8%|268,2.25%|273,0.45%";100%;1;"悬赏令-180【高级】"
869;"654,50%|658,20%|662,15%|666,10%|238,0.5%|263,1.8%|268,2.25%|273,0.45%";100%;1;"悬赏令-190【高级】"
870;"654,50%|658,20%|662,15%|666,10%|239,0.5%|263,1.8%|268,2.25%|273,0.45%";100%;1;"悬赏令-200【高级】"
;;;;
1001;"27";100%;1;"灵珠副本1"
1002;"28";100%;1;"灵珠副本2"
1003;"29";100%;1;"灵珠副本3"
1004;"30";100%;1;"灵珠副本4"
;;;;
2101;"101x1,33%|101x2,34%|101x3,33%";100%;1;"树之国（锁妖塔-1）寻仙玉牌"
2102;"222";80%;1;"树之国（锁妖塔-1）装备"
2103;"222";80%;1;"树之国（锁妖塔-1）装备"
2104;;100%;1;"树之国（锁妖塔-1）通道4"
2105;;100%;1;"树之国（锁妖塔-1）通道5"
2106;"101x1,33%|101x2,34%|101x3,33%";100%;1;"树之国（锁妖塔-2）寻仙玉牌"
2107;"222";80%;1;"树之国（锁妖塔-2）装备"
2108;"222";100%;1;"树之国（锁妖塔-2）装备"
2109;;100%;1;"树之国（锁妖塔-2）通道4"
2110;;100%;1;"树之国（锁妖塔-2）通道5"
2111;"101x2,50%|101x3,50%";100%;1;"树之国（锁妖塔-3）寻仙玉牌"
2112;"222";80%;1;"树之国（锁妖塔-3）装备"
2113;"222";80%;1;"树之国（锁妖塔-3）装备"
2114;;100%;1;"树之国（锁妖塔-3）通道4"
2115;;100%;1;"树之国（锁妖塔-3）通道5"
2116;"101x2,50%|101x3,50%";100%;1;"树之国（锁妖塔-4）寻仙玉牌"
2117;"222";80%;1;"树之国（锁妖塔-4）装备"
2118;"222";80%;1;"树之国（锁妖塔-4）装备"
2119;;100%;1;"树之国（锁妖塔-4）通道4"
2120;;100%;1;"树之国（锁妖塔-4）通道5"
2121;"101x2,33%|101x3,34%|101x4,33%";100%;1;"树之国（锁妖塔-5）寻仙玉牌"
2122;"222";80%;1;"树之国（锁妖塔-5）装备"
2123;"222";80%;1;"树之国（锁妖塔-5）装备"
2124;;100%;1;"树之国（锁妖塔-5）通道4"
2125;;100%;1;"树之国（锁妖塔-5）通道5"
2201;"101x1,16%|101x2,17%|101x3,17%|102x1,16%|102x2,17%|102x3,17%";100%;1;"九阳国（锁妖塔-1）寻仙玉牌"
2202;"223";80%;1;"九阳国（锁妖塔-1）装备"
2203;;100%;1;"九阳国（锁妖塔-1）通道3"
2204;;100%;1;"九阳国（锁妖塔-1）通道4"
2205;;100%;1;"九阳国（锁妖塔-1）通道5"
2206;"101x1,16%|101x2,17%|101x3,17%|102x1,16%|102x2,17%|102x3,17%";100%;1;"九阳国（锁妖塔-2）寻仙玉牌"
2207;"223";80%;1;"九阳国（锁妖塔-2）装备"
2208;;100%;1;"九阳国（锁妖塔-2）通道3"
2209;;100%;1;"九阳国（锁妖塔-2）通道4"
2210;;100%;1;"九阳国（锁妖塔-2）通道5"
2211;"101x2,25%|101x3,25%|102x2,25%|102x3,25%";100%;1;"九阳国（锁妖塔-3）寻仙玉牌"
2212;"223";80%;1;"九阳国（锁妖塔-3）装备"
2213;"223";80%;1;"九阳国（锁妖塔-3）装备"
2214;;100%;1;"九阳国（锁妖塔-3）通道4"
2215;;100%;1;"九阳国（锁妖塔-3）通道5"
2216;"101x2,25%|101x3,25%|102x2,25%|102x3,25%";100%;1;"九阳国（锁妖塔-4）寻仙玉牌"
2217;"223";80%;1;"九阳国（锁妖塔-4）装备"
2218;"223";80%;1;"九阳国（锁妖塔-4）装备"
2219;;100%;1;"九阳国（锁妖塔-4）通道4"
2220;;100%;1;"九阳国（锁妖塔-4）通道5"
2221;"101x2,16%|101x3,17%|101x4,17%|102x2,16%|102x3,17%|102x4,17%";100%;1;"九阳国（锁妖塔-5）寻仙玉牌"
2222;"223";80%;1;"九阳国（锁妖塔-5）装备"
2223;"223";80%;1;"九阳国（锁妖塔-5）装备"
2224;;100%;1;"九阳国（锁妖塔-5）通道4"
2225;;100%;1;"九阳国（锁妖塔-5）通道5"
2301;"101x1,16%|101x2,17%|101x3,17%|102x1,16%|102x2,17%|102x3,17%";100%;1;"冰乐国（锁妖塔-1）寻仙玉牌"
2302;"224";80%;1;"冰乐国（锁妖塔-1）装备"
2303;;100%;1;"冰乐国（锁妖塔-1）通道3"
2304;;100%;1;"冰乐国（锁妖塔-1）通道4"
2305;;100%;1;"冰乐国（锁妖塔-1）通道5"
2306;"101x1,16%|101x2,17%|101x3,17%|102x1,16%|102x2,17%|102x3,17%";100%;1;"冰乐国（锁妖塔-2）寻仙玉牌"
2307;"224";80%;1;"冰乐国（锁妖塔-2）装备"
2308;;100%;1;"冰乐国（锁妖塔-2）通道3"
2309;;100%;1;"冰乐国（锁妖塔-2）通道4"
2310;;100%;1;"冰乐国（锁妖塔-2）通道5"
2311;"101x2,25%|101x3,25%|102x2,25%|102x3,25%";100%;1;"冰乐国（锁妖塔-3）寻仙玉牌"
2312;"224";80%;1;"冰乐国（锁妖塔-3）装备"
2313;;100%;1;"冰乐国（锁妖塔-3）通道3"
2314;;100%;1;"冰乐国（锁妖塔-3）通道4"
2315;;100%;1;"冰乐国（锁妖塔-3）通道5"
2316;"101x2,25%|101x3,25%|102x2,25%|102x3,25%";100%;1;"冰乐国（锁妖塔-4）寻仙玉牌"
2317;"224";80%;1;"冰乐国（锁妖塔-4）装备"
2318;;100%;1;"冰乐国（锁妖塔-4）通道3"
2319;;100%;1;"冰乐国（锁妖塔-4）通道4"
2320;;100%;1;"冰乐国（锁妖塔-4）通道5"
2321;"101x2,16%|101x3,17%|101x4,17%|102x2,16%|102x3,17%|102x4,17%";100%;1;"冰乐国（锁妖塔-5）寻仙玉牌"
2322;"224";80%;1;"冰乐国（锁妖塔-5）装备"
2323;;100%;1;"冰乐国（锁妖塔-5）通道3"
2324;;100%;1;"冰乐国（锁妖塔-5）通道4"
2325;;100%;1;"冰乐国（锁妖塔-5）通道5"
;;;;
4000;;;;"2000-4000为[锁妖塔]物品掉落"
;;;;
5001;"25003x1000,50%|25002x5,30%|13,20%";100%;1;"小黄鱼奖励"
5002;"25003x1000,70%|7,10%|10,20%";100%;1;"虾米奖励"
5003;;100%;1;"桂鱼奖励"
5004;"14x2,15%|8,25%|10x2,40%|11,20%";100%;1;"鲤鱼奖励"
5005;"25002x30,22%|13x6,30%|14x2,10%|15,3%|11x3,35%";100%;1;"鲈鱼奖励"
5006;;100%;1;"神仙鱼奖励"
5007;"8,20%|9,20%|11x2,50%|12,10%";100%;1;"寿星龟奖励"
5008;;100%;1;"珍珠蚌奖励"
5009;"14x4,65%|15,25%|16,10%";100%;1;"关公蟹奖励"
5010;"15x3,35%|16,20%|17,5%|9,20%|12,20%";100%;1;"北冥鲲奖励"
;;;;
25001;"25001";0;0;"元宝"
25002;"25002";0;0;"绑元宝"
25003;"25003";0;0;"银币"
25004;"25004";0;0;"声望"
